Оффер;IP;Група кампанії;Sub ID 18
PL SpinCity PP;91.94.67.175;Dasha;31i3k6g5
TR Luks Casino Monkey;176.89.103.45;Kris;ezxn62oz
TR Glory MonkeyTraff;176.237.20.150;Bodya;eshpfrj8
TR 21 ст RexBet;176.89.74.106;Dasha;t36xpu5j
TR Luks Casino Monkey;46.221.131.226;Bodya;rmw125a2
TR 21 ст RexBet;46.221.131.226;Bodya;rmw125a2
PL Vpartners Verde;31.61.187.43;Dasha;{sb}
PL  SpinCity  Monkey;83.145.177.16;L1ubek;67a2btkp
PL Vpartners Verde;31.182.164.64;L1ubek;0xtq1xr8
PL Vpartners Verde;89.64.9.205;L1ubek;0j40usva
PL Coolzino Vortex;89.64.9.205;L1ubek;0j40usva
TR BizBet Cpagetti;46.155.53.95;L1ubek;l09iieuh
PL VulkanSpiele CGS;89.239.81.9;Kris;od776trf
TR Luks Casino Monkey;46.221.162.154;Denys;6nen1cyt
TR 21 ст RexBet;46.221.162.154;Denys;6nen1cyt
TR Luks Casino Monkey;176.219.245.215;Bodya;lomdy0lx
TR Luks Casino Monkey;5.47.36.214;MishaR;b2wmnus2
PL SpinCity PP;37.47.154.171;Dasha;2evf9klq
TR Luks Casino Monkey;5.176.240.124;Barashko;fptvh8r4
TR MelBet CGS;212.68.60.152;Denys;pt0y4blt
PL Verde TrafficCake;83.25.20.211;MaksZek;3ho6iaok
PL SpinCity PP;31.61.227.222;Dasha;31i3k6g5
PL SpinCity PP;91.94.91.167;Dasha;31i3k6g5
PL SpinCity PP;91.94.80.53;Dasha;31i3k6g5
TR MelBet CGS;88.241.44.176;Maryana;ww6qgo1x
PL SpinCity PP;91.94.67.18;Dasha;31i3k6g5
TR Luks Casino Monkey;178.247.161.162;Maryana;pr4lw075
TR 21 ст RexBet;178.247.161.162;Maryana;pr4lw075
PL Coolzino Vortex;89.239.81.9;Kris;od776trf
KLO 2 TEST;173.252.107.113;Maryana;9dt2pqhe
TR Luks Casino Monkey;176.220.240.218;Maryana;jm0yldb1
TR 21 ст RexBet;212.68.60.152;Maryana;9dt2pqhe
KLO 2 TEST;54.38.53.146;Maryana;9dt2pqhe
TR 21 ст RexBet;176.89.115.178;Maryana;crro6gc8
KLO 2 TEST;173.252.107.10;Maryana;9dt2pqhe
KLO 2 TEST;173.252.107.112;Maryana;9dt2pqhe
KLO 2 TEST;173.252.107.11;Maryana;9dt2pqhe
KLO 2 TEST;173.252.87.3;Maryana;9dt2pqhe
TR MelBet CGS;31.223.96.42;Maryana;hwbyprza
TR Luks Casino Monkey;94.122.135.0;Liubomyr;be9h5ymq
TR 21 ст RexBet;92.253.212.187;MaksZek;ka4vdalv
TR 21 ст RexBet;31.223.96.42;Maryana;hwbyprza
TR Luks Casino Monkey;31.223.96.42;Maryana;hwbyprza
KLO 2 TEST;31.13.127.9;Maryana;9dt2pqhe
PL SpinCity PP;77.253.79.246;MaksZek;rfzigcx4
TR MelBet CGS;212.68.60.152;Maryana;9dt2pqhe
KLO 2 TEST;66.220.149.47;Maryana;9dt2pqhe
TR Luks Casino Monkey;178.243.36.144;Maryana;w88e7b3k
KLO 2 TEST;31.13.127.20;Maryana;9dt2pqhe
TR MelBet CGS;178.243.36.144;Maryana;w88e7b3k
TR Luks Casino Monkey;212.68.60.152;Maryana;9dt2pqhe
KLO 2 TEST;66.220.149.32;Maryana;9dt2pqhe
KLO 2 TEST;66.220.149.15;Maryana;9dt2pqhe
KLO 2 TEST;66.220.149.18;Maryana;9dt2pqhe
KLO 2 TEST;66.220.149.9;Maryana;9dt2pqhe
KLO 2 TEST;173.252.83.46;Maryana;9dt2pqhe
KLO 2 TEST;173.252.83.2;Maryana;9dt2pqhe
KLO 2 TEST;173.252.107.4;Maryana;9dt2pqhe
KLO 2 TEST;69.171.251.1;Maryana;9dt2pqhe
KLO 2 TEST;173.252.107.7;Maryana;9dt2pqhe
TR Luks Casino Monkey;78.169.83.178;Liubomyr;fgwjk2jb
TR MelBet CGS;46.106.4.157;Maryana;c5bnw233
TR 21 ст RexBet;95.5.77.23;Maryana;ibczdsqx
TR Luks Casino Monkey;95.5.77.23;Maryana;ibczdsqx
TR Luks Casino Monkey;46.106.4.157;Maryana;c5bnw233
TR MelBet CGS;95.5.77.23;Maryana;ibczdsqx
TR 21 ст RexBet;46.106.4.157;Maryana;c5bnw233
TR MelBet CGS;78.182.147.7;Maryana;3csq9v59
TR Luks Casino Monkey;78.182.147.7;Maryana;3csq9v59
TR 21 ст RexBet;78.182.147.7;Maryana;3csq9v59
TR MelBet CGS;176.89.115.178;Maryana;crro6gc8
TR 21 ст RexBet;176.30.161.110;Maryana;gk2yeep0
TR 21 ст RexBet;178.243.36.144;Maryana;w88e7b3k
KLO 2 TEST;57.129.47.185;Maryana;8c3zlnu6
TR MelBet CGS;5.24.6.170;Maryana;8c3zlnu6
TR Luks Casino Monkey;5.24.6.170;Maryana;8c3zlnu6
TR 21 ст RexBet;5.24.6.170;Maryana;8c3zlnu6
TR 21 ст RexBet;88.230.172.117;Liubomyr;8se8j7mo
TR Luks Casino Monkey;88.230.172.117;Liubomyr;8se8j7mo
TR MelBet CGS;178.247.161.162;Maryana;pr4lw075
TR MelBet CGS;78.169.83.178;Liubomyr;fgwjk2jb
PL Vpartners Verde;185.143.161.16;Dasha;034uwa4c
TR Luks Casino Monkey;82.222.190.242;Liubomyr;znbpw3g2
TR MelBet CGS;176.55.64.98;Liubomyr;fgwjk2jb
TR MelBet CGS;212.68.60.152;Liubomyr;c2382gj6
TR MelBet CGS;149.0.163.170;Liubomyr;b2ytuuya
TR 21 ст RexBet;5.46.162.110;Liubomyr;k4f5x9xw
TR Luks Casino Monkey;5.46.162.110;Liubomyr;k4f5x9xw
TR 21 ст RexBet;212.68.60.152;Liubomyr;c2382gj6
TR Luks Casino Monkey;212.68.60.152;Liubomyr;c2382gj6
TR 21 ст RexBet;176.55.64.98;Liubomyr;fgwjk2jb
KLO 2 TEST;57.129.13.183;Liubomyr;c2382gj6
TR 21 ст RexBet;149.0.163.170;Liubomyr;b2ytuuya
TR Luks Casino Monkey;149.0.163.170;Liubomyr;b2ytuuya
TR Luks Casino Monkey;176.55.64.98;Liubomyr;fgwjk2jb
TR Luks Casino Monkey;5.47.160.102;Barashko;fptvh8r4
PL SpinCity PP;91.94.70.72;Dasha;31i3k6g5
PL Vpartners Verde;82.160.108.131;Maryana;vmam4kh3
TR Luks Casino Monkey;31.142.45.96;MaksZek;ka4vdalv
TR Luks Casino Monkey;78.190.7.116;MaksZek;jca2dexy
PL  SpinCity  Monkey;89.239.81.9;Kris;od776trf
PL Vpartners Verde;37.31.144.7;Kris;53v3jdam
PL Verde TrafficCake;31.0.56.195;Maryana;{sb}
PL VOX Casino CGS;31.0.56.195;Maryana;{sb}
TR 21 ст RexBet;212.68.60.152;MaksZek;42d4t8ef
PL SpinCity PP;31.0.56.195;Maryana;{sb}
TR Basari VortexAds;176.227.12.16;Bodya;ubetmnwj
PL VulkanSpiele CGS;31.0.50.127;Kris;740sdumg
TR MelBet CGS;46.154.62.147;MaksZek;d44oevki
PL VulkanSpiele CGS;185.203.253.4;MaksZek;ish9pnkq
PL Coolzino Vortex;185.203.253.4;MaksZek;ish9pnkq
PL SpinCity PP;95.91.239.216;Dasha;tqlsej4g
TR Luks Casino Monkey;88.236.172.137;Denys;085s95eq
TR Luks Casino Monkey;94.120.65.85;MaksZek;Evirgen
TR Luks Casino Monkey;31.142.26.195;MaksZek;xst61b2m
TR Luks Casino Monkey;5.47.228.171;MaksZek;jca2dexy
TR 21 ст RexBet;31.143.203.77;MaksZek;42d4t8ef
TR 21 ст RexBet;176.54.86.20;Dasha;res1rx41
TR 7Slots TrafficCake;88.226.113.126;Marta;mxlyfz4u
TR Luks Casino Monkey;88.252.123.163;Dasha;res1rx41
TR 21 ст RexBet;31.142.45.96;MaksZek;ka4vdalv
TR Luks Casino Monkey;88.236.170.143;Denys;085s95eq
TR Luks Casino Monkey;37.155.132.68;Barashko;fptvh8r4
KLO 2 TEST;69.171.231.10;MaksZek;ka4vdalv
KLO 2 TEST;69.171.251.116;MaksZek;ka4vdalv
TR Luks Casino Monkey;78.177.175.203;MaksZek;nr9nylec
TR 21 ст RexBet;78.177.175.203;MaksZek;nr9nylec
TR Luks Casino Monkey;88.234.212.95;MaksZek;xst61b2m
PL Vpartners Verde;31.182.166.218;L1ubek;0xtq1xr8
TR Luks Casino Monkey;178.246.153.3;MaksZek;42d4t8ef
TR MelBet CGS;95.70.164.249;MaksZek;axbprxv8
TR 21 ст RexBet;95.70.164.249;MaksZek;axbprxv8
TR Luks Casino Monkey;95.70.164.249;MaksZek;axbprxv8
KLO 2 TEST;69.171.251.114;MaksZek;ka4vdalv
KLO 2 TEST;69.171.251.115;MaksZek;ka4vdalv
TR Basari VortexAds;5.176.200.135;Bodya;b0fcsqxu
TR 21 ст RexBet;46.1.231.166;Liubomyr;1tggvndi
TR Luks Casino Monkey;46.1.231.166;Liubomyr;1tggvndi
TR BizBet Cpagetti;78.173.82.198;L1ubek;701dskax
TR Luks Casino Monkey;176.89.6.148;MaksZek;xst61b2m
PL VulkanSpiele CGS;31.0.50.108;Dasha;dvjeuxal
TR Luks Casino Monkey;149.140.138.142;MaksZek;jlopumlk
TR 21 ст RexBet;5.47.181.33;Denys;73f9hsnx
TR Luks Casino Monkey;176.89.17.84;MaksZek;xst61b2m
PL  SpinCity  Monkey;31.61.184.12;Dasha;xuuw0ang
PL  SpinCity  Monkey;185.251.84.15;Dasha;47yvwc2d
PL VulkanSpiele CGS;37.248.170.210;Dasha;dvjeuxal
TR Luks Casino Monkey;88.241.45.121;Maryana;2ayvd2s1
PL Coolzino Vortex;94.40.184.43;VitaKis;iouo6zeq
TR Luks Casino Monkey;176.30.182.177;Dasha;y718kipk
TR 21 ст RexBet;185.118.176.242;Denys;73f9hsnx
PL Coolzino Vortex;37.30.126.123;MaksZek;ym76shm9
PL VulkanSpiele CGS;37.30.126.123;MaksZek;ym76shm9
PL VulkanSpiele CGS;31.11.156.170;L1ubek;b0p28ixp
PL  SpinCity  Monkey;37.30.126.123;MaksZek;ym76shm9
TR 21 ст RexBet;149.86.128.25;Dasha;sc4utup7
TR 21 ст RexBet;151.135.200.30;Misha;x0qiw9y1
TR Luks Casino Monkey;46.221.174.125;Denys;6nen1cyt
PL SpinCity PP;46.112.4.9;Maryana;lgim42nv
PL Verde TrafficCake;46.112.4.9;Maryana;lgim42nv
TR 21 ст RexBet;88.230.177.226;Maryana;crro6gc8
TR Luks Casino Monkey;176.219.79.7;Dasha;res1rx41
TR Luks Casino Monkey;176.219.77.101;Dasha;res1rx41
TR Luks Casino Monkey;78.190.96.246;Bodya;obb4d5us
PL Coolzino Vortex;46.112.81.78;VitaKis;iouo6zeq
TR 21 ст RexBet;5.229.72.233;Marta;5ygdmgo6
PL Coolzino Vortex;79.186.20.52;Dasha;eu2hrysq
TR Luks Casino Monkey;78.173.37.231;MishaR;b2wmnus2
PL VulkanSpiele CGS;80.238.81.24;Dasha;l619babj
PL VulkanSpiele CGS;77.255.205.229;VitaKis;7ifpg1wp
PL SpinCity PP;46.134.109.87;MaksZek;bldwswz5
TR Karavan Monkey;5.177.159.15;Irka;vxehcu0b
PL VulkanSpiele CGS;31.61.178.6;Dasha;wudl5q42
PL SpinCity PP;37.225.88.44;Dasha;28za75k9
TR Luks Casino Monkey;185.135.108.142;MaksZek;vr07n8v7
PL VulkanSpiele CGS;188.33.242.130;Dasha;g5z4ogsh
TR Luks Casino Monkey;5.47.166.133;Barashko;fptvh8r4
PL VulkanSpiele CGS;5.184.221.162;VitaKis;yijft2yh
PL Vpartners Ice;77.255.205.229;VitaKis;7ifpg1wp
PL Vpartners Ice;5.184.221.162;VitaKis;yijft2yh
PL  SpinCity  Monkey;5.184.221.162;VitaKis;yijft2yh
PL  SpinCity  Monkey;77.255.205.229;VitaKis;7ifpg1wp
PL Coolzino Vortex;185.48.128.217;VitaKis;hssazpdc
TR Luks Casino Monkey;5.176.253.98;Barashko;fptvh8r4
PL Coolzino Vortex;37.225.88.44;Dasha;28za75k9
TR Luks Casino Monkey;88.235.205.144;Maryana;gk2yeep0
TR 21 ст RexBet;88.235.205.144;Maryana;gk2yeep0
TR BizBet Cpagetti;88.253.155.0;Denys;swf3numd
TR Luks Casino Monkey;31.200.14.156;Kris;c0vpasmu
TR MelBet CGS;78.167.3.48;MaksZek;dg2f8vre
TR BizBet Cpagetti;78.162.44.1;Ira;t5trwb6d
TR Luks Casino Monkey;151.135.156.216;MishaR;jl67swad
KLO 2 TEST;151.135.156.216;MishaR;jl67swad
TR MelBet CGS;78.190.129.67;Liubomyr;wcgomlxh
TR MelBet CGS;173.252.95.6;MaksZek;dg2f8vre
PL VulkanSpiele CGS;91.94.18.27;Kris;od776trf
TR 21 ст RexBet;78.190.129.67;Liubomyr;wcgomlxh
TR MelBet CGS;78.190.129.67;Liubomyr;
KLO 2 TEST;78.190.129.67;Liubomyr;wcgomlxh
TR Luks Casino Monkey;46.2.168.166;Dasha;45ram0ql
TR 21 ст RexBet;176.55.129.130;Vitalik;10wvlwo4
TR Luks Casino Monkey;176.219.11.33;Bodya;90d00dp2
TR 21 ст RexBet;88.236.170.143;Denys;085s95eq
KLO 2 TEST;149.154.161.234;Vitalik;{subyk}
TR MelBet CGS;151.135.156.216;MishaR;jl67swad
